,game_id,game_date,season,OT,H_A,Team_Abbrev,Team_Score,Team_pace,Team_efg_pct,Team_tov_pct,Team_orb_pct,Team_ft_rate,Team_off_rtg,Inactives,Opponent_pace,Opponent_efg_pct,Opponent_tov_pct,Opponent_orb_pct,Opponent_ft_rate,Opponent_off_rtg,Win,fg,fga,fg2a,fg2,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,fg2_pct,ft_pct,fg3_pct,fg_pct,ast_ratio
13,201910230MIA,2019-10-23,2019-2020,0,H,MIA,120,112.0,0.512,17.1,26.2,0.388,107.2,"Udonis Haslem, James Johnson, Dion Waiters",112.0,0.455,19.0,18.4,0.225,90.2,1,40,85,67,33,7,18,33,39,11,40,51,18,9,8,21,33,0.4925373134328358,0.8461538461538461,0.3888888888888889,0.47058823529411764,12.751487673561916
14,201910230ORL,2019-10-23,2019-2020,0,A,CLE,85,98.7,0.426,14.5,20.4,0.114,86.1,"John Henson, Alfonzo McKinnie, Dylan Windler, Ante Zizic",98.7,0.483,12.1,13.7,0.128,95.2,0,33,88,54,24,9,34,10,15,10,44,54,20,8,2,16,15,0.4444444444444444,0.6666666666666666,0.2647058823529412,0.375,15.313935681470138
15,201910230ORL,2019-10-23,2019-2020,0,H,ORL,94,98.7,0.483,12.1,13.7,0.128,95.2,"Amile Jefferson, Josh Magette",98.7,0.426,14.5,20.4,0.114,86.1,1,37,86,56,28,9,30,11,19,7,39,46,24,12,4,13,18,0.5,0.5789473684210527,0.3,0.43023255813953487,18.270401948842874
16,201910230PHI,2019-10-23,2019-2020,0,A,BOS,93,101.8,0.406,8.7,16.7,0.222,91.4,"Tacko Fall, Javonte Green, Romeo Langford, Tremont Waters",101.8,0.476,12.9,27.9,0.306,105.2,0,33,90,64,26,7,26,20,34,10,31,41,18,4,2,10,29,0.40625,0.5882352941176471,0.2692307692307692,0.36666666666666664,13.537906137184114
17,201910230PHI,2019-10-23,2019-2020,0,H,PHI,107,101.8,0.476,12.9,27.9,0.306,105.2,"Jonah Bolden, Norvel Pelle, Marial Shayok, Zhaire Smith",101.8,0.406,8.7,16.7,0.222,91.4,1,37,85,56,30,7,29,26,36,12,50,62,24,6,7,15,34,0.5357142857142857,0.7222222222222222,0.2413793103448276,0.43529411764705883,17.162471395881006
18,201910230PHO,2019-10-23,2019-2020,0,A,SAC,95,108.7,0.448,20.9,25.5,0.195,87.4,"Harry Giles, Kyle Guy, Justin James, DaQuan Jeffries",108.7,0.556,11.7,20.5,0.153,114.1,0,34,87,58,24,10,29,17,26,12,35,47,17,5,5,26,24,0.41379310344827586,0.6538461538461539,0.3448275862068966,0.39080459770114945,12.01923076923077
19,201910230PHO,2019-10-23,2019-2020,0,H,PHO,124,108.7,0.556,11.7,20.5,0.153,114.1,"Ty Jerome, Cameron Johnson, Jalen Lecque",108.7,0.448,20.9,25.5,0.195,87.4,1,49,98,65,38,11,33,15,18,9,35,44,31,13,9,14,25,0.5846153846153846,0.8333333333333334,0.3333333333333333,0.5,20.540683805989925
20,201910230POR,2019-10-23,2019-2020,0,A,DEN,108,99.9,0.531,17.0,23.9,0.272,108.1,"Bol Bol, Vlatko Cancar, Jarred Vanderbilt",99.9,0.454,17.1,27.7,0.241,100.1,1,34,81,49,16,18,32,22,27,11,34,45,24,11,4,19,23,0.32653061224489793,0.8148148148148148,0.5625,0.41975308641975306,17.662643508978512
21,201910230POR,2019-10-23,2019-2020,0,H,POR,100,99.9,0.454,17.1,27.7,0.241,100.1,"Moses Brown, Pau Gasol, Jaylen Hoard, Jusuf Nurkic",99.9,0.531,17.0,23.9,0.272,108.1,0,36,87,59,29,7,28,21,23,13,35,48,13,9,4,20,25,0.4915254237288136,0.9130434782608695,0.25,0.41379310344827586,9.990777743621273
22,201910230SAS,2019-10-23,2019-2020,0,A,NYK,111,108.9,0.521,12.1,10.9,0.138,101.9,"Kadeem Allen, Reggie Bullock, Ivan Rabb, Mitchell Robinson",108.9,0.548,17.5,22.7,0.349,110.2,0,44,94,64,34,10,30,13,18,5,34,39,24,16,1,14,32,0.53125,0.7222222222222222,0.3333333333333333,0.46808510638297873,17.152658662092623
